index,song_title,artist,original_gender,original_continent,source,predicted_gender,predicted_continent,reasoning,attribute_scores,emotions,romance_topics,party_club,violence,politics_religion,success_money,family,slang_usage,formal_language,profanity,intensifiers,hedges,first_person,second_person,third_person,confidence,doubt_uncertainty,politeness,aggression_toxicity,cultural_references
434,Soul Heaven,Johnnie Taylor,male,north america,spotify,Male,North America,"The lyrics heavily feature references to legendary musicians and a dreamlike concert setting, indicating a strong connection to music history and a celebratory atmosphere. First-person narration is present but not dominant, with significant third-person references to the performers. The tone is generally nostalgic and celebratory, rather than aggressive or confrontational. The cultural references are very specific to American music history.","{'emotions': 7, 'romance_topics': 3, 'party_club': 8, 'violence': 1, 'politics_religion': 1, 'success_money': 3, 'family': 1, 'slang_usage': 5, 'formal_language': 3, 'profanity': 1, 'intensifiers': 4, 'hedges': 2, 'first_person': 7, 'second_person': 4, 'third_person': 6, 'confidence': 6, 'doubt_uncertainty': 3, 'politeness': 1, 'aggression_toxicity': 1, 'cultural_references': 9}",7,3,8,1,1,3,1,5,3,1,4,2,7,4,6,6,3,1,1,9
435,Hey Joe,Jimi Hendrix,male,north america,spotify,Male,North America,"The lyrics depict a violent crime with strong romantic/relationship themes (jealousy, infidelity, revenge). The language is informal and uses slang, and there's a clear narrative told from the first person perspective. The repeated questioning and commands ('hey joe', 'where you going?') contribute to a confrontational and aggressive tone. The references to Mexico suggest a North American origin.","{'emotions': 8, 'romance_topics': 9, 'party_club': 1, 'violence': 10, 'politics_religion': 1, 'success_money': 1, 'family': 7, 'slang_usage': 7, 'formal_language': 1, 'profanity': 3, 'intensifiers': 4, 'hedges': 1, 'first_person': 8, 'second_person': 6, 'third_person': 2, 'confidence': 4, 'doubt_uncertainty': 2, 'politeness': 1, 'aggression_toxicity': 8, 'cultural_references': 6}",8,9,1,10,1,1,7,7,1,3,4,1,8,6,2,4,2,1,8,6
436,Get Up Offa That Thing,James Brown,male,north america,spotify,Male,North America,"The lyrics heavily emphasize dancing and feeling better, indicating a party/club atmosphere. Slang is prevalent ('a that thing'), and there's a sense of encouragement and shared experience. The repeated phrases and call-and-response style suggest a performance-oriented artist. The reference to 'Ohio Players' indicates a North American, likely US, origin. The tone is generally confident and energetic, aligning with a male artist.","{'emotions': 7, 'romance_topics': 1, 'party_club': 9, 'violence': 1, 'politics_religion': 1, 'success_money': 2, 'family': 1, 'slang_usage': 8, 'formal_language': 1, 'profanity': 3, 'intensifiers': 4, 'hedges': 1, 'first_person': 6, 'second_person': 5, 'third_person': 2, 'confidence': 7, 'doubt_uncertainty': 1, 'politeness': 1, 'aggression_toxicity': 2, 'cultural_references': 4}",7,1,9,1,1,2,1,8,1,3,4,1,6,5,2,7,1,1,2,4
437,Bidi Bidi Bom Bom,Selena,female,north america,spotify,Female,North America,"The lyrics heavily focus on romantic feelings and infatuation, expressed through repetitive phrases and first-person narration. The simplicity of language and lack of slang or formal vocabulary suggest a pop style often associated with female artists. There's minimal presence of other themes like violence, politics, or success.","{'emotions': 9, 'romance_topics': 10, 'party_club': 1, 'violence': 1, 'politics_religion': 1, 'success_money': 1, 'family': 1, 'slang_usage': 3, 'formal_language': 1, 'profanity': 1, 'intensifiers': 4, 'hedges': 1, 'first_person': 10, 'second_person': 4, 'third_person': 1, 'confidence': 5, 'doubt_uncertainty': 1, 'politeness': 1, 'aggression_toxicity': 1, 'cultural_references': 2}",9,10,1,1,1,1,1,3,1,1,4,1,10,4,1,5,1,1,1,2
438,Haven't Got Time for the Pain,Carly Simon,female,north america,spotify,Male,North America,The lyrics heavily focus on romantic healing and overcoming past emotional pain. The repeated phrases and direct address ('you') suggest a strong personal narrative. The tone is generally introspective and leans towards male expression of vulnerability and emotional growth.,"{'emotions': 8, 'romance_topics': 9, 'party_club': 1, 'violence': 2, 'politics_religion': 1, 'success_money': 1, 'family': 1, 'slang_usage': 4, 'formal_language': 3, 'profanity': 1, 'intensifiers': 4, 'hedges': 1, 'first_person': 8, 'second_person': 6, 'third_person': 1, 'confidence': 5, 'doubt_uncertainty': 2, 'politeness': 1, 'aggression_toxicity': 1, 'cultural_references': 2}",8,9,1,2,1,1,1,4,3,1,4,1,8,6,1,5,2,1,1,2
439,On The Floor - Radio Edit,Jennifer Lopez,female,north america,spotify,Female,North America,"The lyrics heavily emphasize partying, dancing, and club culture, with frequent slang and direct address to the listener. References to global locations (Brazil, Morocco, London, Ibiza, LA, New York, Vegas, Africa) suggest a broad appeal and international recognition. The assertive tone and use of second person indicate a performer engaging directly with an audience, characteristic of a female pop artist.","{'emotions': 6, 'romance_topics': 3, 'party_club': 10, 'violence': 4, 'politics_religion': 1, 'success_money': 4, 'family': 1, 'slang_usage': 8, 'formal_language': 1, 'profanity': 5, 'intensifiers': 6, 'hedges': 1, 'first_person': 6, 'second_person': 8, 'third_person': 3, 'confidence': 7, 'doubt_uncertainty': 1, 'politeness': 1, 'aggression_toxicity': 4, 'cultural_references': 8}",6,3,10,4,1,4,1,8,1,5,6,1,6,8,3,7,1,1,4,8
440,Havana,Camila Cabello,female,north america,spotify,Male,North America,"The lyrics heavily feature romantic themes and heartbreak ('half of my heart in Havana'). There's significant slang usage and informal language, typical of modern hip-hop. References to East Atlanta, Uncle Sam, and 'shawty' suggest a North American origin. The tone is generally confident but with undertones of doubt and uncertainty, and some aggressive/toxic elements are present, especially in the second half of the lyrics. The prominence of money and success themes is also notable.","{'emotions': 7, 'romance_topics': 8, 'party_club': 6, 'violence': 3, 'politics_religion': 1, 'success_money': 7, 'family': 3, 'slang_usage': 8, 'formal_language': 1, 'profanity': 6, 'intensifiers': 6, 'hedges': 1, 'first_person': 8, 'second_person': 5, 'third_person': 4, 'confidence': 7, 'doubt_uncertainty': 3, 'politeness': 1, 'aggression_toxicity': 4, 'cultural_references': 6}",7,8,6,3,1,7,3,8,1,6,6,1,8,5,4,7,3,1,4,6
441,Me Quedaré Contigo,Pitbull,male,north america,spotify,Male,North America,"The lyrics heavily emphasize romantic themes and declarations of love. There's a significant use of first-person and second-person pronouns, indicating a direct address to a partner. References to fame, money, and partying suggest a North American artist in the entertainment industry. The slang usage and conversational tone point towards a male artist.","{'emotions': 8, 'romance_topics': 10, 'party_club': 6, 'violence': 1, 'politics_religion': 1, 'success_money': 7, 'family': 6, 'slang_usage': 7, 'formal_language': 3, 'profanity': 3, 'intensifiers': 6, 'hedges': 1, 'first_person': 10, 'second_person': 8, 'third_person': 2, 'confidence': 7, 'doubt_uncertainty': 2, 'politeness': 3, 'aggression_toxicity': 4, 'cultural_references': 6}",8,10,6,1,1,7,6,7,3,3,6,1,10,8,2,7,2,3,4,6
442,2020,KEVVO,male,north america,spotify,Male,North America,"The lyrics are heavily laden with slang, boastful language about money and success, and violent imagery. Frequent use of first-person pronouns and aggressive language indicates a male perspective. Cultural references (Michael Jackson, Tiger Woods, Captain America, Speedy Gonzalez, Vin Diesel, Antetokounmpo, Colombia) and slang point towards a North American origin, though influenced by global pop culture.","{'emotions': 6, 'romance_topics': 3, 'party_club': 7, 'violence': 8, 'politics_religion': 1, 'success_money': 9, 'family': 1, 'slang_usage': 9, 'formal_language': 1, 'profanity': 7, 'intensifiers': 6, 'hedges': 1, 'first_person': 8, 'second_person': 6, 'third_person': 4, 'confidence': 7, 'doubt_uncertainty': 1, 'politeness': 1, 'aggression_toxicity': 7, 'cultural_references': 8}",6,3,7,8,1,9,1,9,1,7,6,1,8,6,4,7,1,1,7,8
443,La Cama,Lunay,male,north america,spotify,Male,North America,"The lyrics heavily feature romantic and sexual themes with a strong emphasis on desire and physical intimacy (high Romance_Topics, Emotions, Second_Person). There's a notable level of aggression and potentially violent imagery (Violence, Aggression_Toxicity), alongside slang and informal language (Slang_Usage). The references to luxury items (AP, Hublot) and space travel (Mars) suggest a focus on success/status, albeit in a stylized way. First-person perspective is dominant, indicating a focus on personal experience and desire.","{'emotions': 8, 'romance_topics': 9, 'party_club': 4, 'violence': 7, 'politics_religion': 1, 'success_money': 4, 'family': 3, 'slang_usage': 7, 'formal_language': 1, 'profanity': 6, 'intensifiers': 6, 'hedges': 1, 'first_person': 8, 'second_person': 8, 'third_person': 3, 'confidence': 7, 'doubt_uncertainty': 3, 'politeness': 1, 'aggression_toxicity': 8, 'cultural_references': 6}",8,9,4,7,1,4,3,7,1,6,6,1,8,8,3,7,3,1,8,6
444,On My Level (feat. Too $hort),Wiz Khalifa,male,north america,spotify,Male,North America,"The lyrics heavily feature party and club themes, slang, profanity, and references to money and success, indicating a male artist from North America. The frequent use of first-person pronouns and assertive language contributes to a confident tone, while aggression and toxicity are present due to explicit language and derogatory terms.","{'emotions': 7, 'romance_topics': 6, 'party_club': 9, 'violence': 3, 'politics_religion': 1, 'success_money': 8, 'family': 1, 'slang_usage': 9, 'formal_language': 1, 'profanity': 8, 'intensifiers': 6, 'hedges': 1, 'first_person': 8, 'second_person': 6, 'third_person': 4, 'confidence': 7, 'doubt_uncertainty': 1, 'politeness': 1, 'aggression_toxicity': 6, 'cultural_references': 4}",7,6,9,3,1,8,1,9,1,8,6,1,8,6,4,7,1,1,6,4
445,Shotta Flow 3,NLE Choppa,male,north america,spotify,Male,North America,"The lyrics heavily feature violent imagery, slang, and profanity, indicative of a male rapper from North America. Frequent use of first-person and third-person pronouns, along with aggressive and boastful language, reinforces this assessment. References to gang affiliations (Crip, Piru) and firearms are prominent.","{'emotions': 6, 'romance_topics': 4, 'party_club': 5, 'violence': 9, 'politics_religion': 1, 'success_money': 3, 'family': 1, 'slang_usage': 9, 'formal_language': 1, 'profanity': 10, 'intensifiers': 4, 'hedges': 1, 'first_person': 8, 'second_person': 3, 'third_person': 6, 'confidence': 7, 'doubt_uncertainty': 1, 'politeness': 1, 'aggression_toxicity': 8, 'cultural_references': 7}",6,4,5,9,1,3,1,9,1,10,4,1,8,3,6,7,1,1,8,7
446,Hold You Tight,Tara Kemp,female,north america,spotify,Male,North America,"The lyrics heavily emphasize romantic feelings and desire, with frequent repetition of phrases expressing longing and affection. The language is relatively simple and direct, leaning towards informal expressions. There's minimal use of slang or cultural references, and no indication of violence, political/religious themes, or success/money focus. The high first and second-person usage reflects a direct address and personal expression of feelings. The overall tone is confident and romantic, suggesting a male artist from North America.","{'emotions': 9, 'romance_topics': 10, 'party_club': 1, 'violence': 1, 'politics_religion': 1, 'success_money': 1, 'family': 1, 'slang_usage': 4, 'formal_language': 3, 'profanity': 3, 'intensifiers': 6, 'hedges': 1, 'first_person': 8, 'second_person': 8, 'third_person': 2, 'confidence': 7, 'doubt_uncertainty': 1, 'politeness': 2, 'aggression_toxicity': 1, 'cultural_references': 1}",9,10,1,1,1,1,1,4,3,3,6,1,8,8,2,7,1,2,1,1
447,Forever,Tory Lanez,male,north america,spotify,Male,North America,"The lyrics heavily feature violent imagery, slang, and references to street life and money, indicating a male artist from North America. Frequent use of first and third person pronouns, aggressive language, and informal vocabulary further support this assessment.","{'emotions': 6, 'romance_topics': 2, 'party_club': 4, 'violence': 9, 'politics_religion': 1, 'success_money': 8, 'family': 1, 'slang_usage': 9, 'formal_language': 1, 'profanity': 8, 'intensifiers': 4, 'hedges': 1, 'first_person': 7, 'second_person': 4, 'third_person': 6, 'confidence': 7, 'doubt_uncertainty': 2, 'politeness': 1, 'aggression_toxicity': 8, 'cultural_references': 6}",6,2,4,9,1,8,1,9,1,8,4,1,7,4,6,7,2,1,8,6
448,Rock Wit'cha,Bobby Brown,male,north america,spotify,Male,North America,"The lyrics heavily focus on romantic themes and physical intimacy, using informal language and slang. The consistent repetition and direct address ('you,' 'baby') indicate a male perspective and a North American stylistic influence, often found in R&B and pop music.","{'emotions': 8, 'romance_topics': 10, 'party_club': 4, 'violence': 1, 'politics_religion': 1, 'success_money': 2, 'family': 1, 'slang_usage': 7, 'formal_language': 1, 'profanity': 2, 'intensifiers': 6, 'hedges': 1, 'first_person': 9, 'second_person': 8, 'third_person': 2, 'confidence': 7, 'doubt_uncertainty': 1, 'politeness': 1, 'aggression_toxicity': 1, 'cultural_references': 3}",8,10,4,1,1,2,1,7,1,2,6,1,9,8,2,7,1,1,1,3
449,California Soul,Marlena Shaw,female,north america,spotify,Male,North America,"The lyrics heavily feature romantic themes ('lovers kissin', 'lovin feeling') and a celebratory, musical atmosphere ('pat your feet', 'groovin'). The repeated mention of 'California soul' and references to the sun, wind, and surf strongly suggest a North American, specifically Californian, cultural context. The language is relatively informal with some slang ('groovin'), and the tone is generally positive and confident, though not overtly aggressive. The use of second person ('you') is prominent, creating a sense of inclusivity and invitation.","{'emotions': 7, 'romance_topics': 8, 'party_club': 3, 'violence': 1, 'politics_religion': 1, 'success_money': 2, 'family': 1, 'slang_usage': 6, 'formal_language': 3, 'profanity': 1, 'intensifiers': 5, 'hedges': 1, 'first_person': 3, 'second_person': 7, 'third_person': 5, 'confidence': 6, 'doubt_uncertainty': 1, 'politeness': 1, 'aggression_toxicity': 1, 'cultural_references': 8}",7,8,3,1,1,2,1,6,3,1,5,1,3,7,5,6,1,1,1,8
450,Slip,Elliot Moss,male,north america,spotify,Male,North America,"The lyrics convey a sense of loss and warning, focusing on a fading relationship ('light I used to know') and the inevitability of things slipping away. First-person and second-person perspectives are dominant, suggesting a direct address. Slang usage is moderate. The tone is somewhat melancholic and cautionary, aligning with a male artist from North America.","{'emotions': 7, 'romance_topics': 8, 'party_club': 3, 'violence': 2, 'politics_religion': 1, 'success_money': 5, 'family': 2, 'slang_usage': 6, 'formal_language': 2, 'profanity': 4, 'intensifiers': 5, 'hedges': 2, 'first_person': 9, 'second_person': 7, 'third_person': 3, 'confidence': 6, 'doubt_uncertainty': 2, 'politeness': 1, 'aggression_toxicity': 3, 'cultural_references': 5}",7,8,3,2,1,5,2,6,2,4,5,2,9,7,3,6,2,1,3,5
451,Wanted,Hunter Hayes,male,north america,spotify,Male,North America,"The lyrics heavily focus on romantic feelings and desire, using direct language and personal pronouns. There's a strong emphasis on wanting to reassure the subject of their worth and affection, with minimal slang or formal language. The tone is generally confident and heartfelt, lacking aggression or political/religious themes.","{'emotions': 8, 'romance_topics': 10, 'party_club': 1, 'violence': 1, 'politics_religion': 1, 'success_money': 1, 'family': 1, 'slang_usage': 4, 'formal_language': 3, 'profanity': 1, 'intensifiers': 6, 'hedges': 1, 'first_person': 9, 'second_person': 8, 'third_person': 2, 'confidence': 7, 'doubt_uncertainty': 1, 'politeness': 1, 'aggression_toxicity': 1, 'cultural_references': 2}",8,10,1,1,1,1,1,4,3,1,6,1,9,8,2,7,1,1,1,2
452,Tired,Tvbuu,male,north america,spotify,Male,North America,"The lyrics heavily feature intense emotions like anger, frustration, and despair, alongside explicit language and violent imagery. The extensive use of first-person pronouns indicates a personal narrative of struggle. The slang and profanity, combined with the aggressive tone, suggest a North American male artist.","{'emotions': 9, 'romance_topics': 4, 'party_club': 1, 'violence': 8, 'politics_religion': 1, 'success_money': 3, 'family': 1, 'slang_usage': 9, 'formal_language': 1, 'profanity': 10, 'intensifiers': 7, 'hedges': 1, 'first_person': 10, 'second_person': 5, 'third_person': 2, 'confidence': 4, 'doubt_uncertainty': 5, 'politeness': 1, 'aggression_toxicity': 9, 'cultural_references': 2}",9,4,1,8,1,3,1,9,1,10,7,1,10,5,2,4,5,1,9,2
453,Tired Of Ballin,Tela,male,north america,spotify,Male,North America,"The lyrics heavily feature slang, profanity, and aggressive language, indicative of a male artist from North America. Themes of success, money, and violence are prominent, alongside casual references to relationships and partying. First-person perspective is dominant, and the overall tone is confident and assertive.","{'emotions': 6, 'romance_topics': 5, 'party_club': 4, 'violence': 7, 'politics_religion': 1, 'success_money': 9, 'family': 3, 'slang_usage': 9, 'formal_language': 1, 'profanity': 9, 'intensifiers': 6, 'hedges': 1, 'first_person': 8, 'second_person': 5, 'third_person': 4, 'confidence': 7, 'doubt_uncertainty': 1, 'politeness': 1, 'aggression_toxicity': 7, 'cultural_references': 6}",6,5,4,7,1,9,3,9,1,9,6,1,8,5,4,7,1,1,7,6
454,The Weekend - Funk Wav Remix,SZA,female,north america,spotify,Female,North America,"The lyrics heavily focus on romantic/sexual relationships, possessiveness, and infidelity. The slang usage is high, and there's a significant amount of profanity. The tone is assertive and confident, though somewhat aggressive. The themes and language suggest a female artist from North America.","{'emotions': 8, 'romance_topics': 10, 'party_club': 4, 'violence': 1, 'politics_religion': 1, 'success_money': 3, 'family': 1, 'slang_usage': 8, 'formal_language': 1, 'profanity': 7, 'intensifiers': 6, 'hedges': 1, 'first_person': 7, 'second_person': 6, 'third_person': 4, 'confidence': 7, 'doubt_uncertainty': 1, 'politeness': 1, 'aggression_toxicity': 6, 'cultural_references': 4}",8,10,4,1,1,3,1,8,1,7,6,1,7,6,4,7,1,1,6,4
455,Love Of My Life,Brian McKnight,male,north america,spotify,Male,North America,"The lyrics heavily emphasize romantic love and devotion, using repetitive phrases and superlative adjectives. The language is relatively simple and accessible, with some slang ('shawty'). The strong first and second-person usage indicates a direct address to a loved one. The overall tone is confident and adoring, suggesting a North American male artist.","{'emotions': 9, 'romance_topics': 10, 'party_club': 1, 'violence': 1, 'politics_religion': 1, 'success_money': 1, 'family': 1, 'slang_usage': 4, 'formal_language': 3, 'profanity': 1, 'intensifiers': 7, 'hedges': 1, 'first_person': 8, 'second_person': 8, 'third_person': 1, 'confidence': 7, 'doubt_uncertainty': 1, 'politeness': 2, 'aggression_toxicity': 1, 'cultural_references': 3}",9,10,1,1,1,1,1,4,3,1,7,1,8,8,1,7,1,2,1,3
456,Mambo Para Bailar (feat. Arcangel),Fuego,male,north america,spotify,Male,North America,"The lyrics heavily feature romance and party themes with repeated references to dancing ('mambo', 'zum zum') and nightlife ('after party'). Success and money are mentioned in the context of Miami. The frequent use of 'I' and 'you' suggests a focus on personal interaction. Slang and informal language are prevalent. The overall tone is confident and celebratory, aligning with a male artist from North America, specifically the Miami area.","{'emotions': 7, 'romance_topics': 8, 'party_club': 9, 'violence': 1, 'politics_religion': 1, 'success_money': 7, 'family': 1, 'slang_usage': 7, 'formal_language': 1, 'profanity': 2, 'intensifiers': 4, 'hedges': 1, 'first_person': 8, 'second_person': 8, 'third_person': 2, 'confidence': 7, 'doubt_uncertainty': 1, 'politeness': 2, 'aggression_toxicity': 2, 'cultural_references': 7}",7,8,9,1,1,7,1,7,1,2,4,1,8,8,2,7,1,2,2,7
457,Hold My Hand,Michael Jackson,male,north america,spotify,Male,North America,"The lyrics heavily focus on romantic themes, reassurance, and connection ('hold my hand'), indicating a strong emphasis on romance. The language is relatively simple and repetitive, suggesting a more accessible style. First and second person pronouns are prominent. There's little to no presence of party, violence, or political themes. The artist's style and the content suggest a North American male artist.","{'emotions': 8, 'romance_topics': 9, 'party_club': 1, 'violence': 1, 'politics_religion': 1, 'success_money': 2, 'family': 1, 'slang_usage': 4, 'formal_language': 3, 'profanity': 1, 'intensifiers': 4, 'hedges': 1, 'first_person': 7, 'second_person': 8, 'third_person': 2, 'confidence': 5, 'doubt_uncertainty': 1, 'politeness': 2, 'aggression_toxicity': 1, 'cultural_references': 1}",8,9,1,1,1,2,1,4,3,1,4,1,7,8,2,5,1,2,1,1
458,Dibiase,03 Greedo,male,north america,spotify,Male,North America,"The lyrics heavily feature slang, profanity, and assertive declarations of wealth and status, common in contemporary male rap. References to luxury brands (Givenchy, Louis Vuitton, Gucci) and wrestling figures (Ted DiBiase) indicate a North American cultural context. The tone is largely aggressive and confident, with a focus on boasting and dismissing others.","{'emotions': 6, 'romance_topics': 4, 'party_club': 4, 'violence': 5, 'politics_religion': 1, 'success_money': 8, 'family': 1, 'slang_usage': 9, 'formal_language': 1, 'profanity': 8, 'intensifiers': 4, 'hedges': 1, 'first_person': 8, 'second_person': 6, 'third_person': 2, 'confidence': 7, 'doubt_uncertainty': 1, 'politeness': 1, 'aggression_toxicity': 6, 'cultural_references': 6}",6,4,4,5,1,8,1,9,1,8,4,1,8,6,2,7,1,1,6,6
459,Please Me,Cardi B,female,north america,spotify,Male,North America,"The lyrics heavily feature romantic and sexual themes, with significant slang and profanity usage characteristic of contemporary North American hip-hop/rap. The prevalence of 'you' and direct address indicates a focus on interaction and desire. Frequent references to dance culture and explicit content suggest a male artist originating from North America.","{'emotions': 8, 'romance_topics': 9, 'party_club': 8, 'violence': 6, 'politics_religion': 1, 'success_money': 3, 'family': 1, 'slang_usage': 9, 'formal_language': 1, 'profanity': 10, 'intensifiers': 6, 'hedges': 1, 'first_person': 7, 'second_person': 8, 'third_person': 4, 'confidence': 7, 'doubt_uncertainty': 1, 'politeness': 1, 'aggression_toxicity': 8, 'cultural_references': 7}",8,9,8,6,1,3,1,9,1,10,6,1,7,8,4,7,1,1,8,7
460,I Care About You,Babyface,male,north america,spotify,Male,North America,"The lyrics heavily focus on romantic feelings, heartbreak, and longing, with frequent use of first-person pronouns expressing uncertainty and vulnerability. The language is relatively simple and conversational, suggesting a North American origin and a male artist.","{'emotions': 8, 'romance_topics': 9, 'party_club': 1, 'violence': 1, 'politics_religion': 1, 'success_money': 2, 'family': 1, 'slang_usage': 4, 'formal_language': 3, 'profanity': 1, 'intensifiers': 4, 'hedges': 5, 'first_person': 10, 'second_person': 8, 'third_person': 2, 'confidence': 4, 'doubt_uncertainty': 6, 'politeness': 2, 'aggression_toxicity': 2, 'cultural_references': 1}",8,9,1,1,1,2,1,4,3,1,4,5,10,8,2,4,6,2,2,1
461,Dear Mama,2Pac,male,north america,spotify,Male,North America,"The lyrics heavily feature emotional themes like family struggles, poverty, and regret. Strong family dynamics are present, particularly the relationship with his mother. There's slang usage and informal language. The narrative is largely first-person, reflecting personal experiences. References to poverty, welfare, and specific cultural markers (black queen) point towards a North American, likely African-American, origin and a male artist.","{'emotions': 8, 'romance_topics': 2, 'party_club': 1, 'violence': 5, 'politics_religion': 1, 'success_money': 3, 'family': 7, 'slang_usage': 7, 'formal_language': 2, 'profanity': 4, 'intensifiers': 4, 'hedges': 1, 'first_person': 9, 'second_person': 3, 'third_person': 4, 'confidence': 5, 'doubt_uncertainty': 3, 'politeness': 2, 'aggression_toxicity': 4, 'cultural_references': 7}",8,2,1,5,1,3,7,7,2,4,4,1,9,3,4,5,3,2,4,7
462,Protect Da Brand (feat. DaBaby),Moneybagg Yo,male,north america,spotify,Male,North America,"The lyrics heavily feature violent imagery, slang, and aggressive language common in contemporary hip-hop. The frequent use of first-person narration and references to street culture (trappers, jackers, 'chopper') point towards a male artist from North America.","{'emotions': 7, 'romance_topics': 1, 'party_club': 2, 'violence': 9, 'politics_religion': 1, 'success_money': 6, 'family': 1, 'slang_usage': 9, 'formal_language': 1, 'profanity': 8, 'intensifiers': 6, 'hedges': 1, 'first_person': 8, 'second_person': 4, 'third_person': 4, 'confidence': 7, 'doubt_uncertainty': 1, 'politeness': 1, 'aggression_toxicity': 8, 'cultural_references': 7}",7,1,2,9,1,6,1,9,1,8,6,1,8,4,4,7,1,1,8,7
463,Diamonds (with Normani),Megan Thee Stallion,female,north america,spotify,Female,North America,"The lyrics heavily emphasize material wealth ('diamonds,' 'Cartier,' 'baguettes'), independence, and a tough persona. Frequent use of slang and profanity, combined with assertive statements and references to firearms, suggest a female artist from North America, likely within a contemporary hip-hop context. The focus on self-love and dismissal of romantic needs further supports a confident, independent female artist.","{'emotions': 7, 'romance_topics': 6, 'party_club': 5, 'violence': 7, 'politics_religion': 1, 'success_money': 9, 'family': 1, 'slang_usage': 8, 'formal_language': 1, 'profanity': 7, 'intensifiers': 6, 'hedges': 1, 'first_person': 9, 'second_person': 6, 'third_person': 3, 'confidence': 8, 'doubt_uncertainty': 1, 'politeness': 1, 'aggression_toxicity': 6, 'cultural_references': 4}",7,6,5,7,1,9,1,8,1,7,6,1,9,6,3,8,1,1,6,4
464,Scars To Your Beautiful,Alessia Cara,female,north america,spotify,Female,North America,"The lyrics focus heavily on emotions, particularly sadness and a desire for acceptance. Romance is present but not dominant. There's a critique of societal beauty standards and the pressures they place on women. The repeated use of 'you' indicates a direct address, and the overall tone is encouraging and supportive, suggesting a female artist addressing a female audience. The cultural references are related to beauty standards and media portrayals, pointing towards a North American context.","{'emotions': 9, 'romance_topics': 4, 'party_club': 1, 'violence': 3, 'politics_religion': 1, 'success_money': 6, 'family': 1, 'slang_usage': 5, 'formal_language': 3, 'profanity': 1, 'intensifiers': 4, 'hedges': 3, 'first_person': 6, 'second_person': 8, 'third_person': 4, 'confidence': 5, 'doubt_uncertainty': 4, 'politeness': 2, 'aggression_toxicity': 2, 'cultural_references': 4}",9,4,1,3,1,6,1,5,3,1,4,3,6,8,4,5,4,2,2,4
465,Gumbo,Jay Rock,male,north america,spotify,Male,North America,"The lyrics heavily feature slang and profanity, indicating a North American origin and male artist. Themes of violence, success, and street life are prominent. First-person perspective is frequent, and there's a confident, albeit aggressive, tone. Cultural references like 'Damascus,' 'Zeus,' and 'Gumbo' add to the North American, potentially Southern, flavor.","{'emotions': 7, 'romance_topics': 4, 'party_club': 3, 'violence': 6, 'politics_religion': 1, 'success_money': 7, 'family': 1, 'slang_usage': 9, 'formal_language': 1, 'profanity': 8, 'intensifiers': 6, 'hedges': 1, 'first_person': 8, 'second_person': 4, 'third_person': 4, 'confidence': 7, 'doubt_uncertainty': 3, 'politeness': 1, 'aggression_toxicity': 6, 'cultural_references': 6}",7,4,3,6,1,7,1,9,1,8,6,1,8,4,4,7,3,1,6,6
466,Sweet Soul Music,Arthur Conley,male,north america,spotify,Male,North America,"The lyrics heavily feature references to soul music artists (Lou Rawls, Sam & Dave, Wilson Pickett, Otis Redding, James Brown), indicating a North American origin. The language is conversational and uses slang ('ya'll', 'boss', 'wicked'). The focus is on music, dancing, and expressing feelings of enjoyment and love, with a moderate level of emotion. The repeated questions and exclamations create a lively and energetic atmosphere.","{'emotions': 7, 'romance_topics': 6, 'party_club': 6, 'violence': 1, 'politics_religion': 1, 'success_money': 3, 'family': 1, 'slang_usage': 7, 'formal_language': 2, 'profanity': 1, 'intensifiers': 3, 'hedges': 1, 'first_person': 6, 'second_person': 7, 'third_person': 4, 'confidence': 5, 'doubt_uncertainty': 1, 'politeness': 1, 'aggression_toxicity': 1, 'cultural_references': 8}",7,6,6,1,1,3,1,7,2,1,3,1,6,7,4,5,1,1,1,8
467,Fly,Lucky Daye,male,north america,spotify,Male,North America,"The lyrics heavily feature romantic themes ('darling', 'with you I stay fly') and a strong first-person narrative emphasizing resilience and perseverance ('mama raised up a fighter', 'I hold it down'). Slang like 'come up' and informal language is present. The overall tone is confident and assertive, suggesting a North American male artist.","{'emotions': 7, 'romance_topics': 8, 'party_club': 3, 'violence': 2, 'politics_religion': 1, 'success_money': 5, 'family': 2, 'slang_usage': 6, 'formal_language': 2, 'profanity': 4, 'intensifiers': 5, 'hedges': 2, 'first_person': 9, 'second_person': 7, 'third_person': 3, 'confidence': 6, 'doubt_uncertainty': 2, 'politeness': 1, 'aggression_toxicity': 3, 'cultural_references': 5}",7,8,3,2,1,5,2,6,2,4,5,2,9,7,3,6,2,1,3,5
468,Halfway There,ROZES,female,north america,spotify,Male,North America,"The lyrics heavily focus on a romantic relationship facing difficulties and a plea for reassurance. The repeated phrases and questioning suggest emotional vulnerability and uncertainty. Slang is present but not dominant. The overall tone is pleading and relationship-focused, pointing towards a male artist from North America given the common themes of relationship struggles in contemporary music.","{'emotions': 8, 'romance_topics': 9, 'party_club': 1, 'violence': 1, 'politics_religion': 1, 'success_money': 2, 'family': 1, 'slang_usage': 5, 'formal_language': 3, 'profanity': 1, 'intensifiers': 4, 'hedges': 2, 'first_person': 7, 'second_person': 6, 'third_person': 2, 'confidence': 5, 'doubt_uncertainty': 6, 'politeness': 1, 'aggression_toxicity': 2, 'cultural_references': 2}",8,9,1,1,1,2,1,5,3,1,4,2,7,6,2,5,6,1,2,2
